Year,Price
January-2005,100
February-2005,102.1
March-2005,102.9
April-2005,103.6
May-2005,104.4
June-2005,104.5
July-2005,105.7
August-2005,107.8
September-2005,109.7
October-2005,112.8
November-2005,114.3
December-2005,114.9
January-2006,115.4
February-2006,116.4
March-2006,117.1
April-2006,119.2
May-2006,122.3
June-2006,125.5
July-2006,129.5
August-2006,133.3
September-2006,133.5
October-2006,134.4
November-2006,133.9
December-2006,134.1
January-2007,134.3
February-2007,135
March-2007,133.7
April-2007,134
May-2007,132.7
June-2007,133
July-2007,133.7
August-2007,133
September-2007,133.3
October-2007,133.3
November-2007,132.2
December-2007,130.5
January-2008,127.5
February-2008,126.8
March-2008,126.1
April-2008,126.1
May-2008,126.2
June-2008,124.9
July-2008,123.4
August-2008,121.7
September-2008,117.5
October-2008,113.4
November-2008,110.2
December-2008,108
January-2009,105
February-2009,100.3
March-2009,96.6
April-2009,92.9
May-2009,90.9
June-2009,89.8
July-2009,88.9
August-2009,89
September-2009,88.6
October-2009,86.6
November-2009,85
December-2009,83.2
January-2010,81.1
February-2010,79.2
March-2010,77.5
April-2010,77.3
May-2010,76.5
June-2010,75.5
July-2010,75
August-2010,75.4
September-2010,75.2
October-2010,74
November-2010,72.5
December-2010,71.2
January-2011,70.5
February-2011,69
March-2011,67.1
April-2011,66.6
May-2011,65.5
June-2011,64.6
July-2011,63.6
August-2011,62.3
September-2011,60.6
October-2011,59.4
November-2011,58.1
December-2011,57
January-2012,56
February-2012,54.5
March-2012,54.9
April-2012,54.7
May-2012,54.7
June-2012,55
July-2012,56.1
August-2012,56.8
September-2012,57.5
October-2012,58
November-2012,58.4
December-2012,59.1
January-2013,58.6
February-2013,57.6
March-2013,57.2
April-2013,57.9
May-2013,58.3
June-2013,60.4
July-2013,62.6
August-2013,64.2
September-2013,65.3
October-2013,65.7
November-2013,66.5
December-2013,67.3
January-2014,67.6
February-2014,68
March-2014,69
April-2014,71
May-2014,73.6
June-2014,76.6
July-2014,79.7
August-2014,81.5
September-2014,83.5
October-2014,84
November-2014,83.8
December-2014,82.6
January-2015,83
February-2015,82.6
March-2015,82.5
April-2015,82.6
May-2015,83.2
June-2015,84.3
July-2015,84.7
August-2015,85.6
September-2015,85.5
October-2015,86.6
November-2015,86.2
December-2015,85.8
January-2016,87
February-2016,86.4
March-2016,86.6
April-2016,87.1
May-2016,86.8
June-2016,87
July-2016,88.1
August-2016,89.4
September-2016,90.8
October-2016,91
November-2016,92.1
December-2016,91.5
January-2017,92
February-2017,92.2
March-2017,92.8
April-2017,92.1
May-2017,94.5
June-2017,96.3
July-2017,98.5
August-2017,99.9
September-2017,101
October-2017,101.5
November-2017,101.8
December-2017,102.2
January-2018,102.8
February-2018,103.7
March-2018,103.7
April-2018,104.1
May-2018,104.8
June-2018,104.9
July-2018,105.8
August-2018,106.6
September-2018,107.5
October-2018,107.8
November-2018,107
December-2018,106.1
January-2019,105.6
February-2019,105.2
March-2019,104.6
April-2019,104.6
May-2019,104.8
June-2019,105
July-2019,105.8
August-2019,106.2
September-2019,106.2
October-2019,106.2
